Tm,Tm,O,H,L,C,V,A
2017-12-01 09:30:00,2017-12-01 09:30:00,5.06,5.06,5.02,5.05,7072.0,478655.0
2017-12-01 10:00:00,2017-12-01 10:00:00,5.05,5.09,5.04,5.08,11382.0,180789.0
2017-12-01 10:30:00,2017-12-01 10:30:00,5.09,5.09,5.06,5.06,5506.0,45242.0
2017-12-01 11:00:00,2017-12-01 11:00:00,5.06,5.07,5.06,5.07,3623.0,162425.0
2017-12-01 13:00:00,2017-12-01 13:00:00,5.07,5.07,5.05,5.05,2098.0,51207.0
2017-12-01 13:30:00,2017-12-01 13:30:00,5.05,5.07,5.05,5.07,2217.0,15655.0
2017-12-01 14:00:00,2017-12-01 14:00:00,5.06,5.07,5.04,5.05,5609.0,91081.0
2017-12-01 14:30:00,2017-12-01 14:30:00,5.04,5.09,5.04,5.08,13582.0,90834.0
2017-12-04 09:30:00,2017-12-04 09:30:00,5.08,5.08,5.03,5.05,6127.0,256235.0
2017-12-04 10:00:00,2017-12-04 10:00:00,5.05,5.06,5.04,5.04,1656.0,54035.0
2017-12-04 10:30:00,2017-12-04 10:30:00,5.04,5.04,5.01,5.02,8724.0,54936.0
2017-12-04 11:00:00,2017-12-04 11:00:00,5.02,5.03,5.0,5.03,3392.0,40179.0
2017-12-04 13:00:00,2017-12-04 13:00:00,5.03,5.03,5.01,5.01,3295.0,285656.0
2017-12-04 13:30:00,2017-12-04 13:30:00,5.01,5.02,5.0,5.02,3683.0,10020.0
2017-12-04 14:00:00,2017-12-04 14:00:00,5.01,5.01,4.96,4.96,7481.0,5010.0
2017-12-04 14:30:00,2017-12-04 14:30:00,4.97,4.98,4.96,4.96,8342.0,104863.0
2017-12-05 09:30:00,2017-12-05 09:30:00,4.96,4.96,4.93,4.95,5513.0,297439.0
2017-12-05 10:00:00,2017-12-05 10:00:00,4.95,4.96,4.9,4.9,9203.0,32670.0
2017-12-05 10:30:00,2017-12-05 10:30:00,4.9,4.92,4.87,4.88,10490.0,537984.0
2017-12-05 11:00:00,2017-12-05 11:00:00,4.88,4.89,4.83,4.88,9352.0,20018.0
2017-12-05 13:00:00,2017-12-05 13:00:00,4.88,4.89,4.87,4.88,3567.0,338184.0
2017-12-05 13:30:00,2017-12-05 13:30:00,4.88,4.89,4.84,4.84,5605.0,124443.0
2017-12-05 14:00:00,2017-12-05 14:00:00,4.85,4.86,4.81,4.83,5081.0,42723.0
2017-12-05 14:30:00,2017-12-05 14:30:00,4.82,4.83,4.74,4.76,14206.0,60357.0
2017-12-06 09:30:00,2017-12-06 09:30:00,4.75,4.8,4.73,4.79,6479.0,228097.0
2017-12-06 10:00:00,2017-12-06 10:00:00,4.79,4.79,4.75,4.76,4473.0,4785.0
2017-12-06 10:30:00,2017-12-06 10:30:00,4.75,4.76,4.73,4.74,4432.0,240825.0
2017-12-06 11:00:00,2017-12-06 11:00:00,4.74,4.75,4.72,4.74,5851.0,286173.0
2017-12-06 13:00:00,2017-12-06 13:00:00,4.74,4.75,4.69,4.69,9032.0,124961.0
2017-12-06 13:30:00,2017-12-06 13:30:00,4.69,4.7,4.61,4.65,9505.0,43690.0
2017-12-06 14:00:00,2017-12-06 14:00:00,4.65,4.69,4.64,4.69,7376.0,81752.0
