,high,open,close,total_turnover,low,volume
2017-11-01 10:00:00,5.5378,5.4488,5.429,49285889.0,5.4191,8916264.0
2017-11-01 10:30:00,5.4686,5.4191,5.4488,22406091.0,5.4191,4065158.0
2017-11-01 11:00:00,5.4488,5.4488,5.4389,16222761.0,5.4191,2952853.0
2017-11-01 11:30:00,5.4784,5.4389,5.4686,17701421.0,5.4191,3215280.0
2017-11-01 13:30:00,5.4784,5.4587,5.4389,18324152.0,5.4389,3320600.0
2017-11-01 14:00:00,5.4587,5.4389,5.429,23968784.0,5.3993,4370509.0
2017-11-01 14:30:00,5.4389,5.429,5.4191,26334649.0,5.3993,4803624.0
2017-11-01 15:00:00,5.429,5.4191,5.3499,56530340.0,5.34,10402702.0
2017-11-02 10:00:00,5.3301,5.3301,5.2708,63129783.0,5.2016,11887148.0
2017-11-02 10:30:00,5.34,5.2708,5.3103,23637178.0,5.2609,4419028.0
2017-11-02 11:00:00,5.3598,5.3103,5.3301,17787273.0,5.3004,3299166.0
2017-11-02 11:30:00,5.3499,5.3301,5.3202,13043041.0,5.3004,2421452.0
2017-11-02 13:30:00,5.34,5.3202,5.3004,11217862.0,5.3004,2085759.0
2017-11-02 14:00:00,5.3004,5.3004,5.2807,14260646.0,5.251,2671925.0
2017-11-02 14:30:00,5.3301,5.2807,5.3103,11595751.0,5.2807,2159860.0
2017-11-02 15:00:00,5.3103,5.3004,5.2807,14340568.0,5.2807,2681600.0
2017-11-03 10:00:00,5.3202,5.2609,5.2411,22289279.0,5.2411,4175945.0
2017-11-03 10:30:00,5.3598,5.2411,5.3301,27368274.0,5.2411,5120322.0
2017-11-03 11:00:00,5.429,5.34,5.3894,44228348.0,5.3301,8120109.0
2017-11-03 11:30:00,5.3894,5.3894,5.3103,14641320.0,5.3103,2709400.0
2017-11-03 13:30:00,5.3598,5.3103,5.3499,18256802.0,5.2906,3390775.0
2017-11-03 14:00:00,5.3598,5.3499,5.3499,15879919.0,5.3301,2938871.0
2017-11-03 14:30:00,5.3598,5.3499,5.2807,24672411.0,5.2807,4586125.0
2017-11-03 15:00:00,5.3499,5.2906,5.34,25224119.0,5.2807,4695919.0
2017-11-06 10:00:00,5.3993,5.3598,5.3301,38517430.0,5.3103,7111476.0
2017-11-06 10:30:00,5.4686,5.3301,5.429,61252335.0,5.3103,11169040.0
2017-11-06 11:00:00,5.4389,5.429,5.3993,15848803.0,5.3993,2889400.0
2017-11-06 11:30:00,5.4686,5.3993,5.4389,28233237.0,5.3993,5127600.0
