,high,open,low,close,volume,total_turnover
2019-11-01 09:31:00,22.8,22.8,22.71,22.75,443006.0,10086494.0
2019-11-01 09:32:00,22.8,22.77,22.75,22.77,137500.0,3130102.0
2019-11-01 09:33:00,22.77,22.77,22.73,22.73,143400.0,3262722.0
2019-11-01 09:34:00,22.74,22.74,22.61,22.62,469694.0,10656907.0
2019-11-01 09:35:00,22.7,22.61,22.61,22.7,296428.0,6713460.0
2019-11-01 09:36:00,22.8,22.68,22.68,22.76,129500.0,2945996.0
2019-11-01 09:37:00,22.79,22.77,22.7,22.78,190606.0,4334474.0
2019-11-01 09:38:00,22.78,22.78,22.72,22.75,107106.0,2437389.0
2019-11-01 09:39:00,22.78,22.75,22.7,22.7,302388.0,6871915.0
2019-11-01 09:40:00,22.72,22.7,22.64,22.67,352206.0,7986666.0
2019-11-01 09:41:00,22.68,22.67,22.63,22.65,216400.0,4901828.0
2019-11-01 09:42:00,22.65,22.65,22.51,22.53,631469.0,14266875.0
2019-11-01 09:43:00,22.52,22.52,22.47,22.52,662200.0,14902580.0
2019-11-01 09:44:00,22.6,22.53,22.5,22.56,366839.0,8265663.0
2019-11-01 09:45:00,22.57,22.57,22.5,22.5,320961.0,7230149.0
2019-11-01 09:46:00,22.53,22.5,22.49,22.53,233751.0,5261414.0
2019-11-01 09:47:00,22.53,22.52,22.33,22.36,866049.0,19424175.0
2019-11-01 09:48:00,22.48,22.36,22.31,22.43,551656.0,12355874.0
2019-11-01 09:49:00,22.45,22.45,22.43,22.44,329800.0,7401092.0
2019-11-01 09:50:00,22.47,22.44,22.43,22.47,139390.0,3128891.0
2019-11-01 09:51:00,22.47,22.47,22.36,22.36,324184.0,7263579.0
2019-11-01 09:52:00,22.36,22.36,22.28,22.31,615500.0,13738264.0
2019-11-01 09:53:00,22.37,22.29,22.25,22.34,822900.0,18368089.0
2019-11-01 09:54:00,22.35,22.33,22.32,22.32,334700.0,7475374.0
2019-11-01 09:55:00,22.32,22.32,22.23,22.25,468000.0,10429416.0
2019-11-01 09:56:00,22.25,22.24,22.2,22.2,545700.0,12127475.0
2019-11-01 09:57:00,22.25,22.21,22.2,22.24,365631.0,8122988.0
2019-11-01 09:58:00,22.27,22.25,22.17,22.18,630474.0,14009705.0
2019-11-01 09:59:00,22.17,22.17,22.04,22.04,823800.0,18223328.0
2019-11-01 10:00:00,22.12,22.08,22.0,22.08,1282280.0,28266319.0
2019-11-01 10:01:00,22.15,22.09,22.06,22.13,685914.0,15160239.0
2019-11-01 10:02:00,22.2,22.13,22.13,22.19,411690.0,9123753.0
2019-11-01 10:03:00,22.19,22.19,22.15,22.15,633200.0,14036266.0
2019-11-01 10:04:00,22.22,22.16,22.16,22.22,537813.0,11934391.0
2019-11-01 10:05:00,22.36,22.21,22.21,22.3,328510.0,7321593.0
2019-11-01 10:06:00,22.31,22.29,22.27,22.29,300900.0,6706379.0
2019-11-01 10:07:00,22.29,22.28,22.27,22.27,184200.0,4104180.0
2019-11-01 10:08:00,22.36,22.29,22.29,22.34,465656.0,10399401.0
2019-11-01 10:09:00,22.32,22.3,22.28,22.29,245200.0,5467440.0
2019-11-01 10:10:00,22.29,22.29,22.25,22.25,156000.0,3473947.0
2019-11-01 10:11:00,22.34,22.25,22.25,22.33,173660.0,3874508.0
2019-11-01 10:12:00,22.34,22.31,22.3,22.34,248640.0,5552339.0
2019-11-01 10:13:00,22.33,22.3,22.29,22.3,130802.0,2916400.0
2019-11-01 10:14:00,22.3,22.29,22.28,22.3,112834.0,2515444.0
2019-11-01 10:15:00,22.36,22.3,22.3,22.36,151160.0,3374602.0
2019-11-01 10:16:00,22.37,22.36,22.3,22.35,203400.0,4542668.0
2019-11-01 10:17:00,22.35,22.35,22.29,22.32,167200.0,3729642.0
2019-11-01 10:18:00,22.32,22.32,22.26,22.3,163600.0,3646786.0
2019-11-01 10:19:00,22.35,22.3,22.27,22.35,158700.0,3541745.0
2019-11-01 10:20:00,22.39,22.35,22.3,22.36,409100.0,9140044.0
2019-11-01 10:21:00,22.45,22.36,22.3,22.45,394300.0,8816104.0
2019-11-01 10:22:00,22.43,22.4,22.4,22.42,137600.0,3085092.0
2019-11-01 10:23:00,22.42,22.42,22.37,22.38,78800.0,1764917.0
2019-11-01 10:24:00,22.39,22.38,22.37,22.37,147200.0,3294421.0
2019-11-01 10:25:00,22.38,22.36,22.35,22.35,181000.0,4050965.0
2019-11-01 10:26:00,22.38,22.35,22.34,22.34,218000.0,4874796.0
2019-11-01 10:27:00,22.39,22.39,22.34,22.35,106500.0,2382325.0
2019-11-01 10:28:00,22.35,22.35,22.29,22.29,276900.0,6179066.0
2019-11-01 10:29:00,22.3,22.29,22.26,22.26,171791.0,3826728.0
2019-11-01 10:30:00,22.27,22.27,22.22,22.23,282475.0,6284730.0
2019-11-01 10:31:00,22.23,22.23,22.21,22.22,202700.0,4503885.0
2019-11-01 10:32:00,22.22,22.21,22.16,22.16,450100.0,9988388.0
2019-11-01 10:33:00,22.17,22.17,22.12,22.15,393330.0,8713205.0
2019-11-01 10:34:00,22.19,22.16,22.16,22.19,275200.0,6101758.0
2019-11-01 10:35:00,22.2,22.19,22.18,22.19,223500.0,4959083.0
2019-11-01 10:36:00,22.18,22.18,22.15,22.15,389400.0,8630541.0
2019-11-01 10:37:00,22.17,22.15,22.13,22.13,300770.0,6660961.0
2019-11-01 10:38:00,22.14,22.14,22.11,22.12,399054.0,8828287.0
2019-11-01 10:39:00,22.12,22.11,22.08,22.09,468000.0,10342132.0
2019-11-01 10:40:00,22.1,22.09,22.08,22.09,534530.0,11811761.0
2019-11-01 10:41:00,22.18,22.1,22.1,22.15,252400.0,5590027.0
2019-11-01 10:42:00,22.17,22.16,22.11,22.11,286300.0,6336793.0
2019-11-01 10:43:00,22.13,22.12,22.11,22.11,199000.0,4400291.0
2019-11-01 10:44:00,22.14,22.12,22.11,22.14,200700.0,4439580.0
2019-11-01 10:45:00,22.15,22.14,22.12,22.12,244100.0,5402739.0
2019-11-01 10:46:00,22.14,22.12,22.11,22.13,199900.0,4421992.0
2019-11-01 10:47:00,22.2,22.13,22.13,22.17,136100.0,3016333.0
2019-11-01 10:48:00,22.2,22.2,22.17,22.2,102200.0,2267761.0
2019-11-01 10:49:00,22.21,22.19,22.19,22.2,64600.0,1434110.0
2019-11-01 10:50:00,22.22,22.2,22.2,22.21,145729.0,3236215.0
2019-11-01 10:51:00,22.27,22.21,22.21,22.27,192000.0,4269549.0
2019-11-01 10:52:00,22.29,22.27,22.26,22.27,105600.0,2352235.0
2019-11-01 10:53:00,22.28,22.28,22.24,22.25,84582.0,1882352.0
2019-11-01 10:54:00,22.25,22.25,22.24,22.24,95400.0,2122115.0
2019-11-01 10:55:00,22.25,22.24,22.23,22.24,72286.0,1607705.0
2019-11-01 10:56:00,22.24,22.23,22.23,22.24,93504.0,2079180.0
2019-11-01 10:57:00,22.27,22.24,22.24,22.26,82380.0,1832957.0
2019-11-01 10:58:00,22.31,22.27,22.27,22.29,187767.0,4185167.0
2019-11-01 10:59:00,22.3,22.29,22.27,22.27,111580.0,2486025.0
2019-11-01 11:00:00,22.29,22.28,22.28,22.28,46960.0,1046494.0
2019-11-01 11:01:00,22.34,22.29,22.28,22.34,113794.0,2538245.0
2019-11-01 11:02:00,22.33,22.33,22.3,22.3,124845.0,2786067.0
2019-11-01 11:03:00,22.31,22.31,22.28,22.28,108318.0,2414946.0
2019-11-01 11:04:00,22.3,22.28,22.27,22.29,96772.0,2156346.0
2019-11-01 11:05:00,22.3,22.28,22.28,22.29,70341.0,1567993.0
2019-11-01 11:06:00,22.29,22.28,22.26,22.27,133223.0,2967408.0
2019-11-01 11:07:00,22.27,22.26,22.26,22.26,73343.0,1632793.0
2019-11-01 11:08:00,22.27,22.27,22.25,22.27,118868.0,2645605.0
2019-11-01 11:09:00,22.27,22.27,22.26,22.26,98749.0,2198363.0
2019-11-01 11:10:00,22.27,22.26,22.25,22.27,116368.0,2590928.0
2019-11-01 11:11:00,22.26,22.26,22.23,22.23,117442.0,2612291.0
2019-11-01 11:12:00,22.24,22.23,22.22,22.22,78241.0,1739672.0
2019-11-01 11:13:00,22.23,22.22,22.19,22.19,258378.0,5737385.0
2019-11-01 11:14:00,22.19,22.18,22.14,22.16,146300.0,3243260.0
2019-11-01 11:15:00,22.17,22.14,22.14,22.15,146297.0,3241405.0
2019-11-01 11:16:00,22.18,22.15,22.15,22.18,206773.0,4582417.0
2019-11-01 11:17:00,22.22,22.18,22.18,22.21,175391.0,3893261.0
2019-11-01 11:18:00,22.22,22.21,22.19,22.21,118327.0,2628202.0
2019-11-01 11:19:00,22.23,22.21,22.2,22.21,132377.0,2939940.0
2019-11-01 11:20:00,22.26,22.22,22.21,22.24,62900.0,1398226.0
2019-11-01 11:21:00,22.28,22.23,22.23,22.27,85384.0,1900591.0
2019-11-01 11:22:00,22.3,22.27,22.27,22.3,142428.0,3174160.0
2019-11-01 11:23:00,22.3,22.3,22.28,22.29,67373.0,1501490.0
2019-11-01 11:24:00,22.29,22.29,22.27,22.28,84142.0,1874787.0
2019-11-01 11:25:00,22.34,22.28,22.28,22.34,248365.0,5538869.0
2019-11-01 11:26:00,22.35,22.34,22.32,22.33,114669.0,2561368.0
2019-11-01 11:27:00,22.33,22.33,22.3,22.31,108317.0,2417368.0
2019-11-01 11:28:00,22.34,22.31,22.31,22.34,204858.0,4572365.0
2019-11-01 11:29:00,22.34,22.34,22.32,22.32,67506.0,1507597.0
2019-11-01 11:30:00,22.32,22.31,22.3,22.32,181688.0,4054010.0
2019-11-01 13:01:00,22.37,22.3,22.3,22.33,395591.0,8828020.0
