,TmU,k_count,ap,r_total,ccwap,ccH,cci
0,2017-09-13,1,8.97,0,0.0,0.0,0.0
1,2017-09-14,2,9.09,0,0.0,0.0,0.0
2,2017-09-15,3,9.04666666667,0,0.0,0.0,0.0
3,2017-09-18,4,9.1825,0,0.0,0.0,0.0
4,2017-09-19,5,9.218,0,9.19879545455,9.445,4.0
5,2017-09-20,6,9.265,1,9.2794916129,9.5235,5.0
6,2017-09-21,7,9.25,2,9.288,9.5235,5.0
7,2017-09-22,8,9.24875,6,9.30229748482,9.5235,5.0
8,2017-09-25,9,9.24333333333,6,9.30601107338,9.5235,5.0
9,2017-09-26,10,9.209,6,9.29564339288,9.5235,5.0
10,2017-09-27,11,9.20727272727,5,9.28435069224,9.5235,5.0
11,2017-09-28,12,9.24416666667,5,9.29105832264,9.5235,5.0
12,2017-09-29,13,9.25846153846,6,9.3035333905,9.5235,5.0
13,2017-10-09,14,9.31642857143,3,9.35739737495,9.602,6.0
14,2017-10-10,15,9.37333333333,0,9.35739737495,9.602,6.0
15,2017-10-11,16,9.426875,4,9.29548454823,9.5555,3.0
16,2017-10-12,17,9.44470588235,3,9.29548454823,9.5555,3.0
17,2017-10-13,18,9.46388888889,0,9.29548454823,9.5555,3.0
18,2017-10-16,19,9.45684210526,0,9.42569238181,9.7545,5.0
19,2017-10-17,20,9.4535,2,9.35220844752,9.655,4.0
20,2017-10-18,21,9.44047619048,3,9.34883855488,9.655,4.0
21,2017-10-19,22,9.43409090909,3,9.34287070655,9.655,4.0
22,2017-10-20,23,9.44130434783,5,9.35048884079,9.655,4.0
23,2017-10-23,24,9.45125,5,9.4136764625,9.7545,5.0
24,2017-10-24,25,9.4696,5,9.42262541939,9.7545,5.0
25,2017-10-25,26,9.48653846154,4,9.42262541939,9.7545,5.0
26,2017-10-26,27,9.51296296296,2,9.42262541939,9.7545,5.0
27,2017-10-27,28,9.53285714286,1,9.42262541939,9.7545,5.0
28,2017-10-30,29,9.53655172414,1,9.42978397227,9.7545,5.0
29,2017-10-31,30,9.54666666667,1,9.44130444138,9.7545,5.0
30,2017-11-01,31,9.56483870968,1,9.52541636408,9.854,6.0
31,2017-11-02,32,9.579375,1,9.52541636408,9.854,6.0
32,2017-11-03,33,9.57787878788,1,9.53140036943,9.854,6.0
33,2017-11-06,34,9.59411764706,2,9.63799553374,9.9535,7.0
34,2017-11-07,35,9.62142857143,2,9.71991893298,10.051,7.0
35,2017-11-08,36,9.66444444444,12,9.60468817204,10.02,4.0
36,2017-11-09,37,9.70810810811,12,9.67319068365,10.145,4.0
37,2017-11-10,38,9.77947368421,21,9.62558409786,10.164,2.0
38,2017-11-13,39,9.86948717949,33,9.61349730976,10.41,1.0
39,2017-11-14,40,9.93975,30,9.61349730976,10.41,1.0
40,2017-11-15,41,10.0017073171,27,9.61349730976,10.41,1.0
41,2017-11-16,42,10.0823809524,21,9.61349730976,10.41,1.0
42,2017-11-17,43,10.1504651163,25,9.65709090909,10.676,1.0
43,2017-11-20,44,10.2372727273,23,9.65709090909,10.676,1.0
44,2017-11-21,45,10.3255555556,19,9.65413944223,10.767,1.0
45,2017-11-22,46,10.3982608696,17,9.65413944223,10.767,1.0
46,2017-11-23,47,10.4387234043,15,9.65413944223,10.767,1.0
47,2017-11-24,48,10.4829166667,8,9.65413944223,10.767,1.0
48,2017-11-27,49,10.5059183673,8,9.65413944223,10.767,1.0
