,TmU,k_count,ap,r_total,ccwap
0,2017-07-28,1,6.46,0,0.0
1,2017-07-31,2,6.785,0,0.0
2,2017-08-01,3,6.89,0,0.0
3,2017-08-02,4,6.8975,0,0.0
4,2017-08-03,5,6.942,3,7.0548
5,2017-08-04,6,6.95166666667,9,7.06892307692
6,2017-08-07,7,6.99,11,7.07825550661
7,2017-08-08,8,7.05875,7,7.10091749089
8,2017-08-09,9,7.09555555556,4,7.1160371179
9,2017-08-10,10,7.103,4,7.17824133228
10,2017-08-11,11,7.08727272727,8,7.12092898405
11,2017-08-14,12,7.095,10,7.12638652324
12,2017-08-15,13,7.10153846154,14,7.13416433038
13,2017-08-16,14,7.09857142857,18,7.13388900654
14,2017-08-17,15,7.09933333333,18,7.13091774207
15,2017-08-18,16,7.0925,16,7.12412780819
16,2017-08-21,17,7.09058823529,16,7.11556978534
17,2017-08-22,18,7.10388888889,18,7.11945137451
18,2017-08-23,19,7.11157894737,18,7.1299158194
19,2017-08-24,20,7.113,18,7.13455813149
20,2017-08-25,21,7.11523809524,21,7.134358462
21,2017-08-28,22,7.11636363636,27,7.13418001125
22,2017-08-29,23,7.11913043478,30,7.13577296644
23,2017-08-30,24,7.12916666667,30,7.14055132289
24,2017-08-31,25,7.1428,27,7.14628696193
25,2017-09-01,26,7.15846153846,24,7.191548554
26,2017-09-04,27,7.17407407407,18,7.19591192755
27,2017-09-05,28,7.19321428571,18,7.21991685945
28,2017-09-06,29,7.21482758621,18,7.19222576419
29,2017-09-07,30,7.22733333333,14,7.24745811084
30,2017-09-08,31,7.2435483871,14,7.25263111316
31,2017-09-11,32,7.27625,18,7.23049564635
32,2017-09-12,33,7.31181818182,30,7.31147909091
33,2017-09-13,34,7.36058823529,30,7.31147909091
34,2017-09-14,35,7.41342857143,30,7.2769517148
35,2017-09-15,36,7.45638888889,24,7.2769517148
36,2017-09-18,37,7.51405405405,20,7.29372678397
37,2017-09-19,38,7.56263157895,23,7.2819047619
38,2017-09-20,39,7.61230769231,22,7.2819047619
39,2017-09-21,40,7.651,19,7.2819047619
40,2017-09-22,41,7.68975609756,17,7.2819047619
41,2017-09-25,42,7.72571428571,8,7.2819047619
42,2017-09-26,43,7.75302325581,7,7.2819047619
43,2017-09-27,44,7.78568181818,7,7.2819047619
44,2017-09-28,45,7.82711111111,5,7.2819047619
45,2017-09-29,46,7.86195652174,5,7.2819047619
46,2017-10-09,47,7.90893617021,3,7.2819047619
47,2017-10-10,48,7.95604166667,3,7.2819047619
48,2017-10-11,49,8.00244897959,3,7.29277
49,2017-10-12,50,8.037,1,7.29277
50,2017-10-13,51,8.07137254902,1,7.29277
51,2017-10-16,52,8.09557692308,1,7.29277
52,2017-10-17,53,8.12,0,7.29277
53,2017-10-18,54,8.13962962963,0,7.29277
54,2017-10-19,55,8.16072727273,0,7.29277
55,2017-10-20,56,8.18642857143,0,7.29277
56,2017-10-23,57,8.21263157895,0,7.29277
57,2017-10-24,58,8.24189655172,0,9.46650887574
58,2017-10-25,59,8.27016949153,0,9.48103448276
59,2017-10-26,60,8.30233333333,0,9.50332103321
60,2017-10-27,61,8.33131147541,0,9.52402135231
61,2017-10-30,62,8.35241935484,0,9.53256629598
62,2017-10-31,63,8.37603174603,0,9.5358891646
63,2017-11-01,64,8.403125,0,9.55347477982
64,2017-11-02,65,8.42815384615,0,9.56329163409
65,2017-11-03,66,8.44484848485,0,9.56950151057
66,2017-11-06,67,8.47,0,9.57530314098
67,2017-11-07,68,8.50058823529,0,9.60813776635
68,2017-11-08,69,8.53927536232,0,9.60238593156
69,2017-11-09,70,8.57842857143,1,9.5983460076
70,2017-11-10,71,8.63253521127,2,9.62253571429
71,2017-11-13,72,8.69722222222,7,8.49657142857
72,2017-11-14,73,8.75178082192,7,8.49657142857
73,2017-11-15,74,8.80216216216,7,8.49657142857
74,2017-11-16,75,8.86333333333,3,8.49657142857
75,2017-11-17,76,8.91789473684,7,9.02815725806
76,2017-11-20,77,8.98350649351,4,9.02815725806
77,2017-11-21,78,9.05051282051,6,9.14821428571
78,2017-11-22,79,9.10898734177,4,9.14821428571
79,2017-11-23,80,9.148875,4,9.14821428571
80,2017-11-24,81,9.19098765432,3,9.14821428571
81,2017-11-27,82,9.22048780488,1,9.14821428571
